record_id,campaign_date,campaign_id,campaign_name,channel,campaign_type,region,audience_segment,device,impressions,clicks,conversions,spend_usd,revenue_usd
REC-004814,2026-02-24,CAMP-007,B2B Decision Makers,LinkedIn Ads,Lead Generation,North America,Students & Young Professionals,Mobile,2874,42,2,261.52,173.49
REC-004737,2026-02-17,CAMP-023,Enterprise Pipeline Builder,LinkedIn Ads,Lead Generation,Asia-Pacific,New Customers,Desktop,6194,73,8,346.29,1002.06
REC-003966,2025-12-13,CAMP-022,Holiday Revenue Boost,Meta Ads,Seasonal Promotion,North America,Enterprise Decision Makers,Mobile,25025,801,52,811.84,13689.11
REC-000955,2025-03-24,CAMP-020,Creator Partnership Series,Influencer,Influencer Partnership,MENA,New Customers,Desktop,16665,567,14,545.56,1238.39
REC-006089,2026-06-17,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,North America,Small Business Owners,Desktop,43667,298,9,199.34,1439.99
REC-002014,2025-06-28,CAMP-017,Product Demo Views,YouTube Ads,Product Education,North America,Students & Young Professionals,Mobile,23485,298,4,300.65,288.88
REC-005362,2026-04-15,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,Europe,Returning Customers,Mobile,18179,491,22,472.06,2347.36
REC-004934,2026-03-07,CAMP-015,Monthly Product Digest,Email,Customer Nurture,MENA,New Customers,Mobile,10329,575,40,107.86,3890.63
REC-005744,2026-05-18,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,MENA,New Customers,Mobile,21126,190,2,170.5,147.44
REC-000068,2025-01-06,CAMP-020,Creator Partnership Series,Influencer,Influencer Partnership,Asia-Pacific,Returning Customers,Mobile,45047,1831,76,1576.85,10536.15
REC-006056,2026-06-14,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,Latin America,Students & Young Professionals,Mobile,10179,136,2,102.31,106.08
REC-004236,2026-01-05,CAMP-009,Startup Founder Leads,LinkedIn Ads,Lead Generation,North America,New Customers,Desktop,6160,75,8,511.05,932.1
REC-003127,2025-10-04,CAMP-014,Win Back Customers,Email,Reactivation,MENA,New Customers,Desktop,5673,431,79,78.19,10124.63
REC-001509,2025-05-11,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,MENA,Students & Young Professionals,Mobile,22978,580,12,493.97,761.68
REC-003818,2025-11-30,CAMP-023,Enterprise Pipeline Builder,LinkedIn Ads ,Lead Generation,Latin America,Small Business Owners,Mobile,7720,152,11,611.27,2618.34
REC-003129,2025-10-05,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,North America,Returning Customers,Desktop,27900,456,15,462.33,1076.68
REC-004109,2025-12-25,CAMP-017,Product Demo Views,YouTube Ads,Product Education,North America,Returning Customers,Desktop,40849,266,10,278.49,1574.44
REC-005528,2026-04-30,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,Europe,Small Business Owners,Tablet,15599,508,23,445.81,2793.84
REC-004938,2026-03-07,CAMP-014,Win Back Customers,Email,Reactivation,MENA,New Customers,Desktop,9416,557,87,118.98,9021.31
REC-004669,2026-02-11,CAMP-007,B2B Decision Makers,LinkedIn Ads,Lead Generation,MENA,New Customers,Mobile,4203,84,5,342.89,498.82
REC-005447,2026-04-22,CAMP-014,Win Back Customers,Email,Reactivation,MENA,Returning Customers,Mobile,4061,277,54,66.44,8077.04
REC-002273,2025-07-22,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,Latin America,New Customers,Mobile,9692,333,13,264.43,1464.93
REC-005550,2026-05-01,CAMP-017,Product Demo Views,YouTube Ads,Product Education,North America,Returning Customers,Mobile,14262,210,4,174.06,565.65
REC-002943,2025-09-18,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,North America,Small Business Owners,Mobile,14027,564,16,318.39,2465.29
REC-003886,2025-12-06,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,Asia-Pacific,Returning Customers,Desktop,10356,166,7,173.38,906.41
REC-003555,2025-11-10,CAMP-024,Mobile App Acquisition,Google Ads,App Acquisition,North America,New Customers,Mobile,16355,733,25,1620.08,1583.07
REC-005094,2026-03-22,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,North America,New Customers,Tablet,21060,210,2,208.74,193.42
REC-002366,2025-07-31,CAMP-017,Product Demo Views,YouTube Ads,Product Education,North America,New Customers,Mobile,26758,211,3,230.76,283.48
REC-002642,2025-08-23,CAMP-015,Monthly Product Digest,Email,Customer Nurture,MENA,New Customers,Mobile,3898,224,15,66.51,1400.94
REC-001887,2025-06-16,CAMP-001,Search Growth Engine,Google Ads,Always-on Acquisition,North America,New Customers,Mobile,11015,614,33,1027.49,2743.36
REC-004169,2025-12-29,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,MENA,Enterprise Decision Makers,Mobile,5142,384,33,639.87,12939.67
REC-002631,2025-08-22,CAMP-015,Monthly Product Digest,Email,Customer Nurture,North America,Students & Young Professionals,Mobile,6986,387,19,76.18,1289.09
REC-004692,2026-02-13,CAMP-018,Programmatic Market Reach,Display Ads,Brand Awareness,North America,Small Business Owners,Mobile,22370,87,1,64.13,75.25
REC-003213,2025-10-12,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,MENA,Students & Young Professionals,Tablet,15826,83,2,70.66,99.55
REC-001247,2025-04-18,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,Latin America,Returning Customers,Mobile,14189,425,21,454.8,2298.51
REC-003551,2025-11-09,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,North America,Small Business Owners,Mobile,20927,516,22,671.68,2447.71
REC-001899,2025-06-17,CAMP-013,Lifecycle Nurture,Email,Customer Nurture,Asia-Pacific,Returning Customers,Mobile,7759,708,66,98.34,8381.49
REC-005047,2026-03-17,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,Asia-Pacific,Students & Young Professionals,Mobile,21759,373,10,295.05,835.46
REC-000166,2025-01-15,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,Europe,Students & Young Professionals,Desktop,20489,191,2,156.12,96.04
REC-003320,2025-10-21,CAMP-006,Seasonal Offer Push,Meta Ads,Seasonal Promotion,North America,Returning Customers,Mobile,18635,480,26,465.01,2822.7
REC-005256,2026-04-06,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,MENA,Small Business Owners,Tablet,20117,501,30,413.81,4318.48
REC-004356,2026-01-15,CAMP-013,Lifecycle Nurture,Email,Customer Nurture,Asia-Pacific,New Customers,Desktop,3204,187,15,43.83,1327.55
REC-000741,2025-03-06,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,North America,Enterprise Decision Makers,Mobile,14028,1038,81,2280.83,23792.33
REC-000839,2025-03-15,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,MENA,Returning Customers,Desktop,15660,965,123,1506.65,18593.94
REC-003921,2025-12-09,CAMP-014,Win Back Customers,Email,Reactivation,Latin America,Returning Customers,Mobile,3475,266,35,52.27,6129.84
REC-002793,2025-09-06,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,Europe,Students & Young Professionals,Tablet,55442,1613,30,1738.4,2430.33
REC-001335,2025-04-26,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,North America,Returning Customers,Mobile,10692,461,34,500.72,3352.5
REC-003771,2025-11-27,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,MENA,Students & Young Professionals,Mobile,20902,224,2,156.66,105.84
REC-001914,2025-06-18,CAMP-024,Mobile App Acquisition,Google Ads,App Acquisition,Asia-Pacific,Students & Young Professionals,Desktop,8984,282,13,476.74,499.77
REC-002913,2025-09-16,CAMP-013,Lifecycle Nurture,Email,Customer Nurture,MENA,New Customers,Mobile,4367,264,25,69.93,2651.2
REC-001969,2025-06-24,CAMP-008,Executive Thought Leadership,LinkedIn Ads,Brand Awareness,Latin America,New Customers,Desktop,6071,43,2,202.66,91.1
REC-000861,2025-03-17,CAMP-006,Seasonal Offer Push,Meta Ads,Seasonal Promotion,North America,Returning Customers,Mobile,16128,325,14,347.48,1600.56
REC-000577,2025-02-19,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,Europe,Students & Young Professionals,Mobile,31355,554,7,525.76,411.78
REC-003768,2025-11-26,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,Europe,Students & Young Professionals,Mobile,14402,95,1,105.59,49.05
REC-003473,2025-11-03,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,Latin America,New Customers,Mobile,15642,968,69,1334.47,8588.65
REC-004549,2026-02-01,CAMP-011,Creator Product Launch,TikTok Ads,Product Launch,MENA,Enterprise Decision Makers,Mobile,23883,558,19,316.39,4535.58
REC-005614,2026-05-07,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,Asia-Pacific,Enterprise Decision Makers,Mobile,47231,2141,100,1185.61,31482.87
REC-006170,2026-06-25,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,Asia-Pacific,Returning Customers,Desktop,14330,207,6,174.25,818.23
REC-004925,2026-03-06,CAMP-015,Monthly Product Digest,Email,Customer Nurture,Europe,Students & Young Professionals,Mobile,10964,696,40,122.4,2377.13
REC-001900,2025-06-17,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,Europe,Small Business Owners,Tablet,27966,645,22,537.4,3659.6
REC-000849,2025-03-16,CAMP-007,B2B Decision Makers,LinkedIn Ads,Lead Generation,North America,Small Business Owners,Desktop,2872,35,5,183.37,927.19
REC-000283,2025-01-26,CAMP-002,Brand Demand Capture,Google Ads,Brand Awareness,MENA,Small Business Owners,Tablet,11814,267,7,477.76,656.34
REC-005613,2026-05-07,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,Europe,Small Business Owners,Mobile,22085,379,9,294.45,997.48
REC-000943,2025-03-24,CAMP-014,Win Back Customers,Email,Reactivation,Europe,New Customers,Desktop,5619,387,58,83.39,7968.58
REC-001821,2025-06-10,CAMP-017,Product Demo Views,YouTube Ads,Product Education,MENA,New Customers,Mobile,27313,305,4,235.27,447.35
REC-005188,2026-03-31,CAMP-014,Win Back Customers,Email,Reactivation,Europe,Returning Customers,Desktop,2692,198,40,37.62,5088.09
REC-004726,2026-02-16,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,MENA,Returning Customers,Mobile,9924,175,5,134.49,732.88
REC-006081,2026-06-17,CAMP-014,Win Back Customers,Email,Reactivation,North America,Small Business Owners,Desktop,11158,736,132,137.14,20327.06
REC-000474,2025-02-10,CAMP-024,Mobile App Acquisition,Google Ads,App Acquisition,MENA,New Customers,Mobile,4732,177,8,320.24,518.79
REC-003467,2025-11-02,CAMP-013,Lifecycle Nurture,Email,Customer Nurture,Asia-Pacific,Returning Customers,Mobile,13975,797,113,145.74,13396.36
REC-005228,2026-04-03,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,North America,Returning Customers,Mobile,14239,118,1,95.15,108.93
REC-004468,2026-01-24,CAMP-018,Programmatic Market Reach,Display Ads,Brand Awareness,Europe,Small Business Owners,Mobile,29656,116,1,118.29,65.06
REC-003042,2025-09-26,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,Asia-Pacific,Small Business Owners,Desktop,11774,621,41,912.08,7375.63
REC-005678,2026-05-13,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,Asia-Pacific,New Customers,Desktop,28862,830,34,916.24,3620.79
REC-004189,2025-12-31,CAMP-008,Executive Thought Leadership,LinkedIn Ads,Brand Awareness,MENA,Students & Young Professionals,Mobile,8149,91,3,497.49,125.51
REC-003845,2025-12-03,CAMP-024,Mobile App Acquisition,Google Ads,App Acquisition,North America,New Customers,Mobile,22862,864,30,1901.79,1958.06
REC-002421,2025-08-04,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,Asia-Pacific,Small Business Owners,Desktop,19091,1141,115,1905.82,22969.89
REC-000143,2025-01-13,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,Europe,Small Business Owners,Desktop,10722,61,2,37.63,353.43
REC-005987,2026-06-08,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,MENA,Small Business Owners,Mobile,2939,212,12,297.51,2256.78
REC-004843,2026-02-26,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,Asia-Pacific,Returning Customers,Mobile,16235,253,4,212.4,394.1
REC-005902,2026-06-01,CAMP-001,Search Growth Engine,Google Ads,Always-on Acquisition,North America,Students & Young Professionals,Desktop,9415,299,17,577.62,1305.56
REC-002297,2025-07-25,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,North America,Returning Customers,Desktop,16436,140,4,92.45,431.96
REC-005051,2026-03-17,CAMP-023,Enterprise Pipeline Builder,LinkedIn Ads,Lead Generation,Latin America,Returning Customers,Desktop,10403,177,34,803.68,6856.91
REC-004613,2026-02-06,CAMP-009,Startup Founder Leads,LinkedIn Ads,Lead Generation,MENA,Returning Customers,Mobile,3417,57,4,296.93,619.33
REC-001332,2025-04-26,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,Europe,Returning Customers,Mobile,27756,655,22,617.55,2844.87
REC-004002,2025-12-16,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,Latin America,New Customers,Mobile,13100,261,7,197.02,546.46
REC-005873,2026-05-29,CAMP-014,Win Back Customers,Email,Reactivation,North America,Small Business Owners,Mobile,4000,218,31,66.97,6027.79
REC-003389,2025-10-27,CAMP-002,Brand Demand Capture,Google Ads,Brand Awareness,Europe,Students & Young Professionals,Mobile,21328,800,15,1419.31,691.04
REC-004936,2026-03-07,CAMP-008,Executive Thought Leadership,LinkedIn Ads,Brand Awareness,North America,Returning Customers,Mobile,2367,24,2,193.77,152.06
REC-000290,2025-01-26,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,Asia-Pacific,Small Business Owners,Mobile,6851,45,1,66.46,126.68
REC-005879,2026-05-29,CAMP-013,Lifecycle Nurture,Email,Customer Nurture,Europe,Small Business Owners,Desktop,8972,534,74,97.53,8868.87
REC-004620,2026-02-07,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,North America,Small Business Owners,Mobile,9862,406,23,466.41,3780.66
REC-002043,2025-07-01,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,Europe,Enterprise Decision Makers,Desktop,53704,402,12,240.11,3103.32
REC-001508,2025-05-11,CAMP-001,Search Growth Engine,Google Ads,Always-on Acquisition,MENA,Small Business Owners,Desktop,17282,612,39,889.8,4775.06
REC-000277,2025-01-25,CAMP-001,Search Growth Engine,Google Ads,Always-on Acquisition,Europe,Students & Young Professionals,Desktop,13608,417,23,609.79,1542.5
REC-002311,2025-07-26,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,MENA,Students & Young Professionals,Mobile,18170,310,6,212.11,397.65
REC-005756,2026-05-19,CAMP-009,Startup Founder Leads,LinkedIn Ads,Lead Generation,Asia-Pacific,Small Business Owners,Mobile,7617,87,6,376.51,1131.22
REC-002411,2025-08-04,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,North America,Students & Young Professionals,Mobile,25105,745,15,583.0,1064.77
REC-006109,2026-06-19,CAMP-015,Monthly Product Digest,Email,Customer Nurture,North America,Small Business Owners,Mobile,12760,637,47,137.95,5546.09
REC-002755,2025-09-02,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,Europe,New Customers,Tablet,18524,231,4,172.82,339.01
REC-000628,2025-02-24,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,North America,New Customers,Mobile,20822,129,1,75.52,113.52
REC-005627,2026-05-09,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,North America,Enterprise Decision Makers,Mobile,11261,190,10,232.64,2835.9
REC-001039,2025-04-01,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,Europe,New Customers,Mobile,17066,655,19,517.97,1597.33
REC-000606,2025-02-22,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,Asia-Pacific,New Customers,Desktop,49780,1195,54,950.49,4609.42
REC-002985,2025-09-21,CAMP-009,Startup Founder Leads,LinkedIn Ads,Lead Generation,North America,Returning Customers,Mobile,8378,128,8,916.9,1272.87
REC-000800,2025-03-12,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,Asia-Pacific,New Customers,Desktop,25830,658,26,765.39,2793.54
REC-004504,2026-01-28,CAMP-020,Creator Partnership Series,Influencer,Influencer Partnership,North America,New Customers,Mobile,50846,1591,40,1714.34,3402.97
REC-003564,2025-11-10,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,Europe,New Customers,Mobile,9033,122,4,117.03,306.26
REC-005181,2026-03-30,CAMP-014,Win Back Customers,Email,Reactivation,MENA,New Customers,Mobile,11410,903,86,138.06,11477.22
REC-002647,2025-08-24,CAMP-017,Product Demo Views,YouTube Ads,Product Education,MENA,New Customers,Mobile,9023,110,0,96.59,0.0
REC-003233,2025-10-13,CAMP-007,B2B Decision Makers,LinkedIn Ads,Lead Generation,MENA,New Customers,Desktop,1755,19,2,123.83,263.95
REC-005705,2026-05-15,CAMP-009,Startup Founder Leads,LinkedIn Ads,Lead Generation,Europe,Students & Young Professionals,Desktop,6813,82,6,475.57,459.65
REC-001479,2025-05-08,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,Europe,Students & Young Professionals,Mobile,6933,304,8,259.02,548.76
REC-003104,2025-10-02,CAMP-006,Seasonal Offer Push,Meta Ads,Seasonal Promotion,MENA,New Customers,Mobile,6264,125,5,142.62,454.14
REC-001191,2025-04-14,CAMP-020,Creator Partnership Series,Influencer,Influencer Partnership,Europe,Students & Young Professionals,Desktop,30684,639,25,650.38,2079.28
REC-002665,2025-08-25,CAMP-014,Win Back Customers,Email,Reactivation,Latin America,Students & Young Professionals,Tablet,15895,589,40,169.34,2970.34
REC-001949,2025-06-22,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,North America,Small Business Owners,Mobile,13522,218,3,205.89,355.5
REC-005672,2026-05-13,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,MENA,Returning Customers,Tablet,22199,421,18,332.01,1967.14
REC-005016,2026-03-14,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,North America,New Customers,Mobile,33181,219,2,185.99,160.37
REC-000472,2025-02-10,CAMP-018,Programmatic Market Reach,Display Ads,Brand Awareness,Asia-Pacific,Students & Young Professionals,Mobile,35323,156,1,132.64,38.93
REC-002664,2025-08-25,CAMP-009,Startup Founder Leads,LinkedIn Ads,Lead Generation,North America,Enterprise Decision Makers,Mobile,3688,68,6,349.25,2316.8
REC-001723,2025-05-31,CAMP-008,Executive Thought Leadership,LinkedIn Ads,Brand Awareness,Asia-Pacific,Students & Young Professionals,Mobile,4460,57,1,321.78,29.73
REC-005906,2026-06-01,CAMP-024,Mobile App Acquisition,Google Ads,App Acquisition,MENA,Students & Young Professionals,Mobile,8266,414,10,613.63,431.71
REC-004904,2026-03-04,CAMP-023,Enterprise Pipeline Builder,LinkedIn Ads,Lead Generation,MENA,Small Business Owners,Desktop,9890,162,16,788.89,3223.64
REC-004278,2026-01-08,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,North America,Returning Customers,Desktop,40545,242,7,151.74,986.93
REC-003106,2025-10-02,CAMP-002,Brand Demand Capture,Google Ads,Brand Awareness,Asia-Pacific,Small Business Owners,Mobile,9878,306,12,534.1,1157.02
REC-000054,2025-01-05,CAMP-015,Monthly Product Digest,Email,Customer Nurture,North America,Students & Young Professionals,Mobile,4008,265,18,50.13,1408.26
REC-001293,2025-04-22,CAMP-007,B2B Decision Makers,LinkedIn Ads,Lead Generation,North America,Enterprise Decision Makers,Desktop,1789,22,3,169.25,1197.58
REC-003885,2025-12-06,CAMP-024,Mobile App Acquisition,Google Ads,App Acquisition,Asia-Pacific,Returning Customers,Mobile,16407,451,30,787.55,2315.88
REC-006038,2026-06-13,CAMP-024,Mobile App Acquisition,Google Ads,App Acquisition,Asia-Pacific,New Customers,Desktop,8391,313,14,507.67,793.51
REC-001709,2025-05-29,CAMP-009,Startup Founder Leads,LinkedIn Ads,Lead Generation,North America,Small Business Owners,Mobile,2484,32,2,198.35,375.71
REC-005894,2026-05-31,CAMP-014,Win Back Customers,Email,Reactivation,Europe,Returning Customers,Desktop,13068,743,145,146.9,19072.93
REC-001857,2025-06-13,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,Europe,Students & Young Professionals,Desktop,18878,285,5,272.05,419.63
REC-003542,2025-11-08,CAMP-006,Seasonal Offer Push,Meta Ads,Seasonal Promotion,Asia-Pacific,Students & Young Professionals,Mobile,23956,648,14,574.65,1013.68
REC-004771,2026-02-20,CAMP-023,Enterprise Pipeline Builder,LinkedIn Ads,Lead Generation,North America,Returning Customers,Mobile,4297,78,5,522.84,837.24
REC-005639,2026-05-10,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,MENA,Small Business Owners,Mobile,22018,184,4,120.04,537.43
REC-005412,2026-04-19,CAMP-023,Enterprise Pipeline Builder,LinkedIn Ads,Lead Generation,Europe,Enterprise Decision Makers,Desktop,4342,80,9,340.7,3658.62
REC-000128,2025-01-11,CAMP-018,Programmatic Market Reach,Display Ads,Brand Awareness,Europe,New Customers,Desktop,29166,109,1,81.64,50.96
REC-006158,2026-06-24,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,Asia-Pacific,Students & Young Professionals,Mobile,20400,185,1,153.8,49.41
REC-001682,2025-05-27,CAMP-011,Creator Product Launch,TikTok Ads,Product Launch,North America,Returning Customers,Mobile,26334,411,17,409.28,2438.7
REC-003747,2025-11-25,CAMP-015,Monthly Product Digest,Email,Customer Nurture,MENA,Enterprise Decision Makers,Mobile,4648,219,18,69.32,4318.97
REC-005325,2026-04-12,CAMP-015,Monthly Product Digest,Email,Customer Nurture,Asia-Pacific,New Customers,Mobile,4209,185,14,55.73,1164.34
REC-005449,2026-04-22,CAMP-007,B2B Decision Makers,LinkedIn Ads,Lead Generation,Latin America,New Customers,Mobile,8289,120,7,518.8,917.4
REC-005955,2026-06-06,CAMP-017,Product Demo Views,YouTube Ads,Product Education,Asia-Pacific,Small Business Owners,Mobile,21948,250,5,222.27,753.6
REC-003925,2025-12-10,CAMP-001,Search Growth Engine,Google Ads,Always-on Acquisition,Europe,Students & Young Professionals,Desktop,9249,339,17,586.65,1072.11
REC-003820,2025-12-01,CAMP-009,Startup Founder Leads,LinkedIn Ads,Lead Generation,Latin America,Students & Young Professionals,Desktop,6270,67,7,321.05,551.06
REC-000855,2025-03-17,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,MENA,New Customers,Desktop,47836,1675,54,1431.04,4143.93
REC-003505,2025-11-05,CAMP-013,Lifecycle Nurture,Email,Customer Nurture,MENA,New Customers,Mobile,10882,581,52,125.22,4180.5
REC-003052,2025-09-27,CAMP-020,Creator Partnership Series,Influencer,Influencer Partnership,North America,Returning Customers,Desktop,17119,536,27,515.74,3327.39
REC-004542,2026-01-31,CAMP-008,Executive Thought Leadership,LinkedIn Ads,Brand Awareness,Europe,Enterprise Decision Makers,Desktop,3014,25,2,188.73,334.88
REC-003731,2025-11-24,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,Asia-Pacific,Enterprise Decision Makers,Mobile,5184,420,30,679.99,10900.39
REC-000040,2025-01-04,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,MENA,Returning Customers,Desktop,7831,403,49,625.58,6599.84
REC-002634,2025-08-22,CAMP-013,Lifecycle Nurture,Email,Customer Nurture,North America,Enterprise Decision Makers,Mobile,3021,241,26,41.32,7850.32
REC-004515,2026-01-29,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,MENA,Small Business Owners,Mobile,16943,362,13,395.48,1573.86
REC-001142,2025-04-09,CAMP-008,Executive Thought Leadership,LinkedIn Ads,Brand Awareness,Asia-Pacific,New Customers,Mobile,4125,32,1,170.12,56.78
REC-002994,2025-09-22,CAMP-006,Seasonal Offer Push,Meta Ads,Seasonal Promotion,MENA,Small Business Owners,Desktop,6087,135,7,159.66,1086.24
REC-003512,2025-11-06,CAMP-024,Mobile App Acquisition,Google Ads,App Acquisition,North America,Returning Customers,Mobile,23604,1041,65,2055.12,5257.69
REC-000003,2025-01-01,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,Europe,Returning Customers,Mobile,12438,297,11,287.23,1133.25
REC-003046,2025-09-27,CAMP-008,Executive Thought Leadership,LinkedIn Ads,Brand Awareness,Asia-Pacific,Enterprise Decision Makers,Mobile,3928,31,0,217.95,0.0
REC-001482,2025-05-09,CAMP-020,Creator Partnership Series,Influencer,Influencer Partnership,North America,Students & Young Professionals,Desktop,33599,939,31,904.22,1949.26
REC-005478,2026-04-25,CAMP-020,Creator Partnership Series,Influencer,Influencer Partnership,Asia-Pacific,New Customers,Desktop,30562,1008,28,898.96,2383.27
REC-002615,2025-08-21,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,MENA,Students & Young Professionals,Desktop,5737,298,19,525.83,1551.93
