"record_id","campaign_id","campaign_name","campaign_date","month_start","campaign_year","campaign_month_number","campaign_month_name","year_month","campaign_quarter","channel","campaign_type","region","audience_segment","device","impressions","clicks","conversions","spend_usd","revenue_usd","profit_usd","row_profit_margin_percentage"
"REC-000037","CAMP-013","Lifecycle Nurture","2025-01-03","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Customer Nurture","Asia-Pacific","New Customers","Mobile",7438,535,54,84.51,5425.95,5341.44,98.44
"REC-000038","CAMP-009","Startup Founder Leads","2025-01-04","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","Europe","New Customers","Desktop",2002,22,2,147.02,253.17,106.15,41.93
"REC-000039","CAMP-001","Search Growth Engine","2025-01-04","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","Always-on Acquisition","Latin America","New Customers","Mobile",10871,525,20,715.72,1674.41,958.69,57.26
"REC-000040","CAMP-003","High Intent Retargeting","2025-01-04","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","Retargeting","MENA","Returning Customers","Desktop",7831,403,49,625.58,6599.84,5974.26,90.52
"REC-000041","CAMP-003","High Intent Retargeting","2025-01-04","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","Retargeting","MENA","Students & Young Professionals","Tablet",11773,534,22,825.38,1660.14,834.76,50.28
"REC-000042","CAMP-023","Enterprise Pipeline Builder","2025-01-04","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","Europe","Small Business Owners","Desktop",4512,62,6,291.16,1494.17,1203.01,80.51
"REC-000043","CAMP-019","Display Retargeting Loop","2025-01-04","2025-01-01",2025,1,"January  ","2025-01","Q1","Display Ads","Retargeting","MENA","Students & Young Professionals","Mobile",28612,274,3,140.13,208.96,68.83,32.94
"REC-000044","CAMP-024","Mobile App Acquisition","2025-01-04","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","App Acquisition","North America","Returning Customers","Desktop",15250,691,40,1139.03,2440.33,1301.30,53.32
"REC-000045","CAMP-016","Video Reach Accelerator","2025-01-04","2025-01-01",2025,1,"January  ","2025-01","Q1","YouTube Ads","Brand Awareness","MENA","Enterprise Decision Makers","Mobile",17752,176,2,159.03,420.09,261.06,62.14
"REC-000046","CAMP-005","Cart Recovery Social","2025-01-04","2025-01-01",2025,1,"January  ","2025-01","Q1","Meta Ads","Retargeting","Latin America","New Customers","Desktop",19241,443,16,311.08,1398.96,1087.88,77.76
"REC-000047","CAMP-008","Executive Thought Leadership","2025-01-05","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Brand Awareness","MENA","Returning Customers","Mobile",4468,53,4,256.51,201.24,-55.27,-27.46
"REC-000048","CAMP-013","Lifecycle Nurture","2025-01-05","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Customer Nurture","Asia-Pacific","Enterprise Decision Makers","Mobile",1855,97,9,41.82,2871.47,2829.65,98.54
"REC-000049","CAMP-023","Enterprise Pipeline Builder","2025-01-05","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","Latin America","Students & Young Professionals","Mobile",4338,90,7,360.96,835.45,474.49,56.79
"REC-000050","CAMP-010","Short Video Discovery","2025-01-05","2025-01-01",2025,1,"January  ","2025-01","Q1","TikTok Ads","Prospecting","North America","New Customers","Mobile",19246,356,7,261.42,657.92,396.50,60.27
"REC-000051","CAMP-016","Video Reach Accelerator","2025-01-05","2025-01-01",2025,1,"January  ","2025-01","Q1","YouTube Ads","Brand Awareness","MENA","Small Business Owners","Mobile",25558,169,2,129.35,223.97,94.62,42.25
"REC-000052","CAMP-016","Video Reach Accelerator","2025-01-05","2025-01-01",2025,1,"January  ","2025-01","Q1","YouTube Ads","Brand Awareness","MENA","Students & Young Professionals","Mobile",9342,59,0,56.86,0.00,-56.86,NULL
"REC-000053","CAMP-012","Youth Engagement Sprint","2025-01-05","2025-01-01",2025,1,"January  ","2025-01","Q1","TikTok Ads","Engagement","Europe","Small Business Owners","Desktop",19644,202,4,181.34,388.75,207.41,53.35
"REC-000054","CAMP-015","Monthly Product Digest","2025-01-05","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Customer Nurture","North America","Students & Young Professionals","Mobile",4008,265,18,50.13,1408.26,1358.13,96.44
"REC-000055","CAMP-002","Brand Demand Capture","2025-01-05","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","Brand Awareness","North America","Returning Customers","Mobile",10327,402,15,951.11,1576.18,625.07,39.66
"REC-000056","CAMP-002","Brand Demand Capture","2025-01-05","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","Brand Awareness","Europe","Returning Customers","Desktop",13208,453,17,652.04,1359.60,707.56,52.04
"REC-000057","CAMP-005","Cart Recovery Social","2025-01-05","2025-01-01",2025,1,"January  ","2025-01","Q1","Meta Ads","Retargeting","Asia-Pacific","Enterprise Decision Makers","Mobile",15862,473,27,456.38,7122.15,6665.77,93.59
"REC-000058","CAMP-012","Youth Engagement Sprint","2025-01-06","2025-01-01",2025,1,"January  ","2025-01","Q1","TikTok Ads","Engagement","Asia-Pacific","New Customers","Mobile",17677,208,4,222.09,315.73,93.64,29.66
"REC-000059","CAMP-009","Startup Founder Leads","2025-01-06","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","Europe","New Customers","Desktop",3983,39,4,222.64,484.71,262.07,54.07
"REC-000060","CAMP-009","Startup Founder Leads","2025-01-06","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","MENA","New Customers","Mobile",7831,105,4,561.69,436.58,-125.11,-28.66
"REC-000061","CAMP-008","Executive Thought Leadership","2025-01-06","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Brand Awareness","Asia-Pacific","Enterprise Decision Makers","Mobile",1825,19,0,141.38,0.00,-141.38,NULL
"REC-000062","CAMP-008","Executive Thought Leadership","2025-01-06","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Brand Awareness","North America","Small Business Owners","Mobile",3038,20,0,155.25,0.00,-155.25,NULL
"REC-000063","CAMP-021","Micro Creator Conversion","2025-01-06","2025-01-01",2025,1,"January  ","2025-01","Q1","Influencer","Influencer Partnership","Asia-Pacific","Returning Customers","Mobile",28941,834,44,721.55,4971.17,4249.62,85.49
"REC-000064","CAMP-021","Micro Creator Conversion","2025-01-06","2025-01-01",2025,1,"January  ","2025-01","Q1","Influencer","Influencer Partnership","MENA","Enterprise Decision Makers","Desktop",51883,1348,74,1531.44,21754.89,20223.45,92.96
"REC-000065","CAMP-010","Short Video Discovery","2025-01-06","2025-01-01",2025,1,"January  ","2025-01","Q1","TikTok Ads","Prospecting","North America","Returning Customers","Desktop",22881,380,10,264.74,1248.14,983.40,78.79
"REC-000066","CAMP-005","Cart Recovery Social","2025-01-06","2025-01-01",2025,1,"January  ","2025-01","Q1","Meta Ads","Retargeting","North America","New Customers","Desktop",16613,531,43,625.02,4181.23,3556.21,85.05
"REC-000067","CAMP-015","Monthly Product Digest","2025-01-06","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Customer Nurture","Europe","Students & Young Professionals","Desktop",7795,474,32,85.06,2519.66,2434.60,96.62
"REC-000068","CAMP-020","Creator Partnership Series","2025-01-06","2025-01-01",2025,1,"January  ","2025-01","Q1","Influencer","Influencer Partnership","Asia-Pacific","Returning Customers","Mobile",45047,1831,76,1576.85,10536.15,8959.30,85.03
"REC-000069","CAMP-008","Executive Thought Leadership","2025-01-07","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Brand Awareness","MENA","New Customers","Mobile",4743,53,1,324.78,43.02,-281.76,-654.95
"REC-000070","CAMP-015","Monthly Product Digest","2025-01-07","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Customer Nurture","Asia-Pacific","New Customers","Desktop",8521,500,51,101.43,5124.04,5022.61,98.02
"REC-000071","CAMP-017","Product Demo Views","2025-01-07","2025-01-01",2025,1,"January  ","2025-01","Q1","YouTube Ads","Product Education","North America","Returning Customers","Mobile",20425,257,6,259.89,888.27,628.38,70.74
"REC-000072","CAMP-003","High Intent Retargeting","2025-01-07","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","Retargeting","Europe","Small Business Owners","Mobile",7082,402,34,800.16,4876.08,4075.92,83.59
"REC-000073","CAMP-013","Lifecycle Nurture","2025-01-07","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Customer Nurture","Europe","New Customers","Tablet",1848,102,10,25.71,802.61,776.90,96.80
"REC-000074","CAMP-007","B2B Decision Makers","2025-01-07","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","MENA","New Customers","Mobile",2136,26,1,131.76,113.28,-18.48,-16.31
"REC-000075","CAMP-021","Micro Creator Conversion","2025-01-07","2025-01-01",2025,1,"January  ","2025-01","Q1","Influencer","Influencer Partnership","Asia-Pacific","New Customers","Desktop",40120,908,38,720.54,3340.84,2620.30,78.43
"REC-000076","CAMP-021","Micro Creator Conversion","2025-01-07","2025-01-01",2025,1,"January  ","2025-01","Q1","Influencer","Influencer Partnership","North America","Returning Customers","Mobile",51746,1589,49,1505.63,6492.76,4987.13,76.81
"REC-000077","CAMP-024","Mobile App Acquisition","2025-01-07","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","App Acquisition","North America","New Customers","Desktop",7002,333,22,603.76,1215.55,611.79,50.33
"REC-000078","CAMP-024","Mobile App Acquisition","2025-01-07","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","App Acquisition","MENA","Small Business Owners","Mobile",15523,670,34,956.15,3464.52,2508.37,72.40
"REC-000079","CAMP-018","Programmatic Market Reach","2025-01-07","2025-01-01",2025,1,"January  ","2025-01","Q1","Display Ads","Brand Awareness","MENA","New Customers","Mobile",36215,167,1,115.84,62.58,-53.26,-85.11
"REC-000080","CAMP-015","Monthly Product Digest","2025-01-08","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Customer Nurture","Latin America","New Customers","Desktop",9161,468,54,108.27,4167.01,4058.74,97.40
"REC-000081","CAMP-015","Monthly Product Digest","2025-01-08","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Customer Nurture","Latin America","New Customers","Mobile",6450,287,18,83.42,1644.54,1561.12,94.93
"REC-000082","CAMP-007","B2B Decision Makers","2025-01-08","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","North America","Enterprise Decision Makers","Desktop",1880,23,3,127.77,890.56,762.79,85.65
"REC-000083","CAMP-001","Search Growth Engine","2025-01-08","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","Always-on Acquisition","Asia-Pacific","Returning Customers","Mobile",7363,264,21,396.70,2309.22,1912.52,82.82
"REC-000084","CAMP-001","Search Growth Engine","2025-01-08","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","Always-on Acquisition","Asia-Pacific","New Customers","Mobile",16122,685,30,1153.71,2917.67,1763.96,60.46
"REC-000085","CAMP-005","Cart Recovery Social","2025-01-08","2025-01-01",2025,1,"January  ","2025-01","Q1","Meta Ads","Retargeting","Asia-Pacific","Students & Young Professionals","Mobile",24139,695,24,538.24,1798.35,1260.11,70.07
"REC-000086","CAMP-024","Mobile App Acquisition","2025-01-08","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","App Acquisition","Europe","Students & Young Professionals","Mobile",13313,705,25,1340.49,1068.10,-272.39,-25.50
"REC-000087","CAMP-024","Mobile App Acquisition","2025-01-08","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","App Acquisition","Asia-Pacific","Enterprise Decision Makers","Mobile",7895,292,10,399.15,1427.81,1028.66,72.04
"REC-000088","CAMP-018","Programmatic Market Reach","2025-01-08","2025-01-01",2025,1,"January  ","2025-01","Q1","Display Ads","Brand Awareness","Europe","New Customers","Mobile",37403,114,0,72.97,0.00,-72.97,NULL
"REC-000089","CAMP-018","Programmatic Market Reach","2025-01-08","2025-01-01",2025,1,"January  ","2025-01","Q1","Display Ads","Brand Awareness","Europe","New Customers","Mobile",46251,200,1,178.13,64.30,-113.83,-177.03
"REC-000090","CAMP-013","Lifecycle Nurture","2025-01-08","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Customer Nurture","MENA","Students & Young Professionals","Mobile",3729,213,14,47.16,1150.81,1103.65,95.90
"REC-000091","CAMP-014","Win Back Customers","2025-01-08","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Reactivation","North America","Enterprise Decision Makers","Desktop",6788,410,87,75.54,34454.22,34378.68,99.78
"REC-000092","CAMP-003","High Intent Retargeting","2025-01-09","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","Retargeting","MENA","New Customers","Mobile",15657,1084,85,1610.48,11370.65,9760.17,85.84
"REC-000093","CAMP-003","High Intent Retargeting","2025-01-09","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","Retargeting","Europe","New Customers","Mobile",12062,583,53,880.38,5087.13,4206.75,82.69
"REC-000094","CAMP-019","Display Retargeting Loop","2025-01-09","2025-01-01",2025,1,"January  ","2025-01","Q1","Display Ads","Retargeting","Asia-Pacific","New Customers","Desktop",31161,170,4,113.56,364.58,251.02,68.85
"REC-000095","CAMP-007","B2B Decision Makers","2025-01-09","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","MENA","Students & Young Professionals","Desktop",3376,50,5,264.49,428.27,163.78,38.24
"REC-000096","CAMP-017","Product Demo Views","2025-01-09","2025-01-01",2025,1,"January  ","2025-01","Q1","YouTube Ads","Product Education","North America","Enterprise Decision Makers","Mobile",39257,363,7,385.69,2012.37,1626.68,80.83
"REC-000097","CAMP-017","Product Demo Views","2025-01-09","2025-01-01",2025,1,"January  ","2025-01","Q1","YouTube Ads","Product Education","Europe","Small Business Owners","Mobile",23939,254,3,199.88,426.82,226.94,53.17
"REC-000098","CAMP-001","Search Growth Engine","2025-01-09","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","Always-on Acquisition","North America","Students & Young Professionals","Desktop",12920,483,28,974.40,1583.31,608.91,38.46
"REC-000099","CAMP-023","Enterprise Pipeline Builder","2025-01-09","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","Asia-Pacific","Small Business Owners","Mobile",4895,93,7,454.24,1614.34,1160.10,71.86
"REC-000100","CAMP-008","Executive Thought Leadership","2025-01-09","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Brand Awareness","Latin America","Students & Young Professionals","Mobile",4678,61,2,316.00,78.31,-237.69,-303.52
"REC-000101","CAMP-004","Social Scale Prospecting","2025-01-09","2025-01-01",2025,1,"January  ","2025-01","Q1","Meta Ads","Prospecting","North America","Returning Customers","Desktop",8805,192,9,255.69,1248.65,992.96,79.52
"REC-000102","CAMP-004","Social Scale Prospecting","2025-01-10","2025-01-01",2025,1,"January  ","2025-01","Q1","Meta Ads","Prospecting","Europe","Small Business Owners","Desktop",19001,285,19,366.04,2259.66,1893.62,83.80
"REC-000103","CAMP-004","Social Scale Prospecting","2025-01-10","2025-01-01",2025,1,"January  ","2025-01","Q1","Meta Ads","Prospecting","Europe","Returning Customers","Mobile",21908,450,15,484.22,1600.31,1116.09,69.74
"REC-000104","CAMP-019","Display Retargeting Loop","2025-01-10","2025-01-01",2025,1,"January  ","2025-01","Q1","Display Ads","Retargeting","Asia-Pacific","Small Business Owners","Desktop",14387,136,3,88.24,372.64,284.40,76.32
"REC-000105","CAMP-019","Display Retargeting Loop","2025-01-10","2025-01-01",2025,1,"January  ","2025-01","Q1","Display Ads","Retargeting","Asia-Pacific","Students & Young Professionals","Mobile",28561,214,2,109.19,180.36,71.17,39.46
"REC-000106","CAMP-016","Video Reach Accelerator","2025-01-10","2025-01-01",2025,1,"January  ","2025-01","Q1","YouTube Ads","Brand Awareness","MENA","New Customers","Mobile",7935,82,1,81.12,73.96,-7.16,-9.68
"REC-000107","CAMP-002","Brand Demand Capture","2025-01-10","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","Brand Awareness","Europe","New Customers","Desktop",4843,112,3,197.92,171.91,-26.01,-15.13
"REC-000108","CAMP-023","Enterprise Pipeline Builder","2025-01-10","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","Latin America","Students & Young Professionals","Mobile",2368,39,2,214.82,178.55,-36.27,-20.31
"REC-000109","CAMP-013","Lifecycle Nurture","2025-01-10","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Customer Nurture","MENA","New Customers","Tablet",9865,570,30,113.05,2508.75,2395.70,95.49
"REC-000110","CAMP-024","Mobile App Acquisition","2025-01-10","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","App Acquisition","Latin America","New Customers","Mobile",16837,760,34,913.03,2414.28,1501.25,62.18
"REC-000111","CAMP-024","Mobile App Acquisition","2025-01-10","2025-01-01",2025,1,"January  ","2025-01","Q1","Google Ads","App Acquisition","North America","Small Business Owners","Mobile",7478,221,12,370.25,1038.52,668.27,64.35
"REC-000112","CAMP-010","Short Video Discovery","2025-01-10","2025-01-01",2025,1,"January  ","2025-01","Q1","TikTok Ads","Prospecting","Latin America","Small Business Owners","Mobile",17183,356,8,223.13,1063.26,840.13,79.01
"REC-000113","CAMP-010","Short Video Discovery","2025-01-10","2025-01-01",2025,1,"January  ","2025-01","Q1","TikTok Ads","Prospecting","Latin America","New Customers","Tablet",8521,80,2,84.01,201.58,117.57,58.32
"REC-000114","CAMP-009","Startup Founder Leads","2025-01-11","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","Latin America","Students & Young Professionals","Mobile",7559,112,5,421.45,456.84,35.39,7.75
"REC-000115","CAMP-010","Short Video Discovery","2025-01-11","2025-01-01",2025,1,"January  ","2025-01","Q1","TikTok Ads","Prospecting","MENA","New Customers","Mobile",22140,421,9,330.76,712.84,382.08,53.60
"REC-000116","CAMP-010","Short Video Discovery","2025-01-11","2025-01-01",2025,1,"January  ","2025-01","Q1","TikTok Ads","Prospecting","Asia-Pacific","Returning Customers","Desktop",14421,192,4,169.34,493.29,323.95,65.67
"REC-000117","CAMP-015","Monthly Product Digest","2025-01-11","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Customer Nurture","North America","Students & Young Professionals","Mobile",4896,213,14,72.16,1098.16,1026.00,93.43
"REC-000118","CAMP-015","Monthly Product Digest","2025-01-11","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Customer Nurture","North America","Students & Young Professionals","Mobile",4684,263,16,67.84,1043.73,975.89,93.50
"REC-000119","CAMP-014","Win Back Customers","2025-01-11","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Reactivation","MENA","Small Business Owners","Mobile",9445,527,81,117.18,13360.85,13243.67,99.12
"REC-000120","CAMP-014","Win Back Customers","2025-01-11","2025-01-01",2025,1,"January  ","2025-01","Q1","Email","Reactivation","North America","Returning Customers","Mobile",11720,856,202,133.74,30498.92,30365.18,99.56
"REC-000121","CAMP-007","B2B Decision Makers","2025-01-11","2025-01-01",2025,1,"January  ","2025-01","Q1","LinkedIn Ads","Lead Generation","North America","Returning Customers","Mobile",5369,81,6,578.95,823.25,244.30,29.68
